From,To,AvgTime
-193292269#2,-193292269#0,9.99712023038157
-193292269#2,-457444362,4.85097192224622
-193292269#2,193292269#1,4.767458603311735
-193292270#0,-250699717#1,28.059035277177824
-193292270#0,-250699722#4,9.703383729301656
-193292270#0,193292270#0,11.51043916486681
-193292270#0,250699717#2,4.336933045356371
-193294052,-699576529,6.961843052555795
-193294052,193294052,21.706263498920084
-193294052,696495717,0.028797696184305256
-193296753#0,193296753#0,0.028797696184305256
-193296753#1,-193296753#0,0.028797696184305256
-193296753#1,-927489682,14.724262059035278
-193296753#1,193296753#1,16.986321094312455
-193297054#0,193297054#0,5.638588912886968
